,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,sum,mean_price,Cluster
144,369235965,0,0.858037578,0.712585034,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000386574,0.003270182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199645164,0,0,0,0.000177471,0.000251533,0.000177471,0.012831663,3
1321,936471259,0,0.617954071,0.532312925,0.265625,0,0,0,0,0,0,0,0,0.00324492,0.002387791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106026507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053135,0.000563434,0.00053135,0.006057229,3
3461,920077138,0,0.91440501,0.773809524,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083612,0.003398458,0,0,0,0,0,0,0,0,0.003554494,0.006151224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213697341,0,0.332166083,0,0,0,0,0,0.000797024,0.002309074,0.000797024,0.022457464,3
385,493719124,0,0.584551148,0.496598639,0.1875,0,0,0,0,0,0,0.002666667,0.003194316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143969994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002007234,0.001062699,0.007128673,3
991,777916164,0,0.887265136,0.746598639,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0.010430892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119706569,0,0,0,0,0,0,0,0,0.001062699,0.001302941,0.001062699,0.005128645,3
389,495851057,0,0.793319415,0.663265306,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010178117,0.019434514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199466311,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001001102,0.001062699,0.00427149,3
374,485306682,0,0.945720251,0.782312925,0.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.011551984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166203446,0.001062699,0.001001102,0.001062699,0.00427149,3
1284,927129585,0,0.931106472,0.760204082,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.007225871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002258767,0.001062699,0.007842969,3
882,723754479,0,0.908141962,0.739795918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0.011897382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199679872,0,0,0.001062699,0.002007234,0.001062699,0.007128673,3
1469,991073925,0,0.908141962,0.739795918,0,0.005,0.012571608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012571608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.003923916,0.001062699,0.012571608,3
4385,601849839,0,0.931106472,0.765306122,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.010253103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13442623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.003415819,0.001062699,0.01112873,3
1083,842159667,0,0.912317328,0.743197279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.013148716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172389991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.004522565,0.001062699,0.014271632,3
1519,999279300,0,0.54697286,0.445578231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010178117,0.009684758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993996,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000246502,0.001062699,0.002128602,3
1006,787324151,0,0.916492693,0.770408163,0.21875,0,0,0,0,0,0,0.002666667,0.003514387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158395845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.002258767,0.001062699,0.007842969,3
4384,600952964,0,0.899791232,0.746598639,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003417401,0.003057749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0.001062699,0.000689201,0.001062699,0.003385763,3
4547,1010936852,0.541666667,0.722338205,0.68877551,0.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003417401,0.005767147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0,0,0,0,0.001062699,0.00174564,0.001062699,0.006385806,3
1134,867211450,0,0.920668058,0.75,0,0,0,0,0,0,0,0,0,0,0,0.011494253,0.015512803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143214509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.000648955,0.001062699,0.003271475,3
735,640084422,0,0.912317328,0.743197279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.038596762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555308505,0.001062699,0.004522565,0.001062699,0.014271632,3
3479,938084720,0,0.926931106,0.755102041,0,0,0,0,0,0,0,0.002666667,0.002874244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129544143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062699,0.001755701,0.001062699,0.006414377,3
1530,1001530805,0,0.881002088,0.717687075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002701389,0.030260089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264364184,0,0,0,0.00124017,0.006479493,0.00124017,0.016991307,3
28,1001695715,0.177083333,0.881002088,0.763605442,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0.003792207,0.010832226,0,0,0,0,0,0,0.008130081,0.001027021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212922012,0,0,0,0.00966989,0,0,0,0,0,0,0,0,0,0,0.00177152,0.003783058,0.00177152,0.018041444,3
1019,795433689,0,0.88308977,0.734693878,0.140625,0,0,0,0,0,0,0,0,0,0,0,0,0.011370937,0.018795162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123209664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.006680719,0.002125399,0.010200146,3
1466,989635875,0,0.908141962,0.761904762,0.203125,0.01,0.018543122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009271561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.006026733,0.002125399,0.009271561,3
2031,1079396147,0,0.784968685,0.666666667,0.25,0.005,0.084986928,0,0,0,0,0,0,0,0,0,0,0.005685469,0.009450228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084986928,0,0,0,0,0,0.123899914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.033036357,0.002125399,0.095244218,3
832,695228056,0,0.755741127,0.629251701,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006849315,0.005008492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18051218,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.002404656,0.002125399,0.00412863,3
1153,876244377,0,0.707724426,0.576530612,0,0,0,0,0,0,0,0.005333333,0.004212144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.002807109,0.002125399,0.004700067,3
261,444322796,0,0.941544885,0.777210884,0.09375,0,0,0,0,0,0,0.002666667,0.001273885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0.017857994,0,0,0,0,0,0,0,0,0,0.057414887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299719888,0,0,0.002125399,0.004266001,0.002125399,0.013543051,3
732,639594670,0,0.951983299,0.795918367,0.1875,0,0,0.004376368,0.012606053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139713238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.003712628,0.002125399,0.0059858,3
2531,772050092,0,0.943632568,0.768707483,0,0.005,0.002700039,0,0,0,0,0.002666667,0.002554172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002700039,0,0,0.115118292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.002454963,0.002125399,0.00840012,3
534,562527929,0,0.887265136,0.722789116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462963,0.037062068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188930874,0,0,0,0.002125399,0.008049059,0.002125399,0.012143031,3
1520,999334360,0,0.751565762,0.612244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005685469,0.009147505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.037040267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119930975,0,0,0,0,0,0,0,0,0,0,0.377639475,0,0,0,0.002125399,0.011540338,0.002125399,0.034200489,3
766,662137199,0,0.908141962,0.75,0.09375,0.005,0.007128673,0,0,0,0,0,0,0,0,0.011494253,0.016867633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007128673,0,0,0,0,0.155722326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002125399,0.003259869,0.002125399,0.010685867,3
