CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty
0266389873,0,0,19,19,2,3.94,0,0,0,0,0,0,4,25.93,0,0,3,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,6.4825,0,3.8233333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0351208244,0,0,11,11,1,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390663615,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1.063,7.16,0,0,0,0,2,3.94,0,0,0,0,0,0,0,0,0,0,2.5,10.49,0,0,0,0,0,0,1,7.79,0,0,0,0,0,0,0,0,6.73565381,0,0,1.97,0,0,0,0,0,0,4.196,0,0,7.79,0
0430969436,8,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0316666667,0,0,0,0,0,0,0
0475302295,0,0,0,0,0,0,0,0,0,0,0,0,6,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64.97,0,0,0,0,2,21.58,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,21.656666667,0,10.79,0
0476606884,0,0,15,15,0,0,5,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0485566418,0,430,430,0,0,0,0,0,0,0,0,0,0,0,1,0.69,3,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,5.8233333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0530755768,33,335,370,2,2,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,2.9933333333,0,0,0,0,0,0,0,0,0,0
0539929141,37,421,462,4,0,0,0,0,1,3.36,0,0,0,0,0,0,1,2.99,0,0,0,0,0,0,8,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,2.99,0,0,0,2.54625,0,0,0,0,0,0,0,0,0,0
0561628298,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,48.16,2,5.58,24,81.26,0,0,14,40.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,2.79,3.3858333333,0,2.9157142857,0,0,0,0,0,0,0,0,0,0
0582561338,2,3,7,2,0,0,5,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.39,0,0,0,0,0,0,0,0,0,5.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0
0598262806,0,345,345,0,0,0,0,0,0,0,0,0,0,0,1,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,7.795,0,0,0,0,0,0,0
0622201648,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.334,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5809768638,0,0,0,0
0651862575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0688888889,0,0,0,0,0,0,0,0,0,0,0,0
0654162106,37,207,246,2,2,5.26,0,0,0,0,0,0,70.417,417.86,0,0,50.82,214.07,0,0,0,0,1,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.9340784186,0,4.212317985,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0
0680748332,85,33,120,2,2,5.98,0,0,0,0,0,0,8,9.55,0,0,0,0,2,5.08,0,0,0,0,0,0,0,0,5,8.95,8,50.42,0,0,0,0,7,20.93,0,0,0,0,0,0,0,0,2.99,0,0,0,1.19375,0,0,2.54,0,0,0,0,1.79,6.3025,0,0,0,2.99,0,0,0
0746597962,0,292,294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6566666667,0,0
0784456352,0,190,193,3,3,12.57,0,0,0,0,0,0,0,0,3,3,3,8.17,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,1,2.7233333333,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0787703610,18,94,115,3,11,60.22,0,0,0,0,8,46.92,17,54.23,2,3.51,2,18.72,0,0,0,0,0,0,0,0,0,0,1,7.49,0,0,4.25,16.97,0,0,0,0,1,14.39,2.5,17.98,1,5.99,0,0,5.4745454545,0,0,5.865,3.19,1.755,9.36,0,0,0,0,0,7.49,0,3.9929411765,7.192,0,0,14.39,5.99,0
0790075154,0,456,479,23,0,0,0,0,0,0,0,0,0,0,0,0,84,427.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.088452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0852704626,0,0,0,0,1,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.99,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0
0867436677,33,409,447,5,1,3.22,0,0,0,0,1,5.09,37,126.12,1,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,5.09,3.4086486486,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0868346016,86,0,91,5,1,6.49,0,0,0,0,0,0,0,0,1,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0925530875,0,424,432,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.08,0,0,0,0,1,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,3.18,0,0,0,0,0,0,0,3.99,0,0
0958606956,0,314,323,9,0,0,1,0.5,0,0,0,0,0,0,1,1,0,0,1,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.49,0,0.5,0,0,0,1,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.49
