CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,Cluster
252229851,95,0,144,49,7,19.73,0,0,0,0,0,0,0,0,0,0,57,299.79,0,0,0,0,7,16.93,0,0,8,62.02,0,0,84.056,595.37,0,0,0,0,3,35.98,0,0,71.847,215.84,0,0,5,6.79,2.818571429,0,0,0,0,0,5.259473684,0,0,2.418571429,0,7.7525,0,7.083016085,0,3.004161621,0,11.99333333,0,0,1.358,4
267638088,91,0,126,35,4,92.8,22,13.38,1,6.38,2,1.08,12.39,50.35,21,30.09,108.861,470.26,1,2.55,5,16.63,2,3.98,6,21.81,0,0,0,0,7.749,22.7,3.063,7.98,0,0,5.5,21.7,0,0,18.945,65.81,4,34.24,68,28.91,23.2,0.608181818,6.38,0.54,4.063761098,1.432857143,4.319820689,2.55,3.326,1.99,3.635,0,0,2.929410247,2.605288932,3.473739773,0,3.945454546,0,8.56,0.425147059,4
339662587,79,434,536,23,0,0,0,0,0,0,0,0,0.306,0.76,0,0,2,16.48,0,0,0,0,0,0,1,5.99,0,0,0,0,0,0,0,0,0,0,21.75,70.85,0,0,0,0,0,0,0,0,0,0,0,0,2.483660131,0,8.24,0,0,0,5.99,0,0,0,0,0,0,3.257471264,0,0,0,4
346246341,70,2,132,60,120,359.48,1,1,0,0,0,0,27,54.35,0,0,58,244.76,0,0,0,0,2,6.36,0,0,0,0,0,0,299,488.05,2,5.98,0,0,432,167.62,0,0,0,0,0,0,0,0,2.995666667,1,0,0,2.012962963,0,4.22,0,0,3.18,0,0,0,1.632274248,2.99,0,0,0.388009259,0,0,0,4
356469668,85,170,284,29,4,5.07,0,0,0,0,0,0,0,0,0,0,6.5,22.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2675,0,0,0,0,0,3.456923077,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,4
357079706,95,240,335,0,2,5.23,45,104.56,6,51.18,0,0,9.084,39.83,5,16.48,40.625,129.21,3,6.13,9,42.04,8,14.12,13,42.13,1,1.07,2,7.6,0,0,0,0,0,0,3,29.97,0,0,0,0,1,7.19,7,16.08,2.615,2.323555556,8.53,0,4.384632321,3.296,3.180553846,2.043333333,4.671111111,1.765,3.240769231,1.07,3.8,0,0,0,0,9.99,0,7.19,2.297142857,4
358349389,46,137,205,22,0,0,0,0,0,0,6,16.37,4,22.37,4,2.64,3,22.67,1,1,10,24.34,0,0,1,1.09,0,0,0,0,9.5,58.35,0,0,0,0,0,0,5,52.05,0,0,0,0,0,0,0,0,0,2.728333333,5.5925,0.66,7.556666667,1,2.434,0,1.09,0,0,6.142105263,0,0,0,0,10.41,0,0,4
361702947,96,0,113,17,2,11.97,1,0.5,0,0,0,0,0,0,0,0,0,0,17,85.72,2,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.985,0.5,0,0,0,0,0,5.042352941,1.99,0,0,0,0,0,0,0,0,0,0,0,0,4
372681973,81,0,117,36,1,3.29,0,0,3,29.97,0,0,0,0,21,21,5,9.95,3,3.99,0,0,1,2.5,0,0,0,0,0,0,1.139,3.8,0,0,0,0,0,0,0,0,0.5,4.5,0,0,0,0,3.29,0,9.99,0,0,1,1.99,1.33,0,2.5,0,0,0,3.336259877,0,9,0,0,0,0,0,4
381338649,87,143,279,49,1,3.89,0,0,0,0,0,0,0,0,4,31.96,51,184.85,3,6.72,20,72.2,1,2.49,0,0,0,0,0,0,0,0,1,6.49,0,0,2.444,10.99,1,6.99,0,0,0,0,3,19.97,3.89,0,0,0,0,7.99,3.624509804,2.24,3.61,2.49,0,0,0,0,6.49,0,0,4.496726678,6.99,0,6.656666667,4
