CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
82732892,0,433,482,49,23,135.39,53,86.1,0,0,4,4.76,15.5,71.64,7,10.48,26.25,130.06,1,0.5,1,2.79,24.875,24.83,2,2.13,0,0,0,0,4.5,6.16,0,0,0,0,1,8.99,0,0,0,0,1,10.99,9,30.91,5.886521739,1.624528302,0,1.19,4.621935484,1.497142857,4.954666667,0.5,2.79,0.998190955,1.065,0,0,1.368888889,0,0,0,8.99,0,10.99,3.434444444,525.73,25.03476191,2
127819449,0,0,51,51,13,63.74,319,331.37,4,33.72,2,0.62,9.5,38.76,0,0,18,19.38,5,14.6,0,0,4,4.29,0,0,0,0,0,0,0,0,1.458,6.71,1.5,8.39,0,0,1,6.99,0,0,0,0,0,0,4.903076923,1.03877743,8.43,0.31,4.08,0,1.076666667,2.92,0,1.0725,0,0,0,0,4.602194787,0,5.593333333,0,6.99,0,0,528.57,25.17,2
128317732,0,0,49,49,2,5.48,0,0,0,0,20,62.48,6,12.84,0,0,0,0,0,0,0,0,3,4.54,0,0,0,0,1,1.37,0,0,0,0,0,0,1,4.94,0,0,0,0,1,6.37,1,3.29,2.74,0,0,3.124,2.14,0,0,0,0,1.513333333,0,0,1.37,0,0,0,0,4.94,0,6.37,3.29,101.31,4.824285714,2
156130643,0,450,484,34,34,94.89,0,0,0,0,21,62.92,7,42.21,13,44.32,47.5,212.34,3,6.29,1,1.49,5,12.91,1,8.99,3,4.93,0,0,11,12.24,3.25,25.61,0,0,0,0,1,7.16,0,0,2.5,18.58,4,6.46,2.790882353,0,0,2.996190476,6.03,3.409230769,4.47031579,2.096666667,1.49,2.582,8.99,1.643333333,0,1.112727273,7.88,0,0,0,7.16,7.432,1.615,561.34,26.73047619,2
157019274,0,0,14,14,0,0,0,0,0,0,0,0,0,0,2,1.69,4,40.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,10.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.15,2.007142857,2
157207697,0,448,496,48,12,80.41,0,0,0,0,11,8.28,39.484,138.13,7,11.64,11,28.46,0,0,0,0,0,0,0,0,0,0,0,0,11,25.41,0,0,0,0,0,0,2,11.98,0,0,5,43.97,0,0,6.700833333,0,0,0.752727273,3.49837909,1.662857143,2.587272727,0,0,0,0,0,0,2.31,0,0,0,0,5.99,8.794,0,348.28,16.58476191,2
161634118,0,0,48,48,17,70.51,1,1,0,0,5,9.05,10,38.29,5,6.83,24,89,1,1,0,0,3,8.49,8,18.14,2,1.98,1,2.99,11.299,52.44,3.75,13.37,8.625,41.79,0,0,2,16.76,2.501,6.51,0,0,9,11.22,4.147647059,1,0,1.81,3.829,1.366,3.708333333,1,0,2.83,2.2675,0.99,2.99,4.641118683,3.565333333,2.602958817,4.845217391,0,8.38,0,1.246666667,389.37,18.54142857,2
164346835,0,141,187,46,12,39.81,1,3.99,0,0,0,0,35.5,157.96,9,14.53,26,57.63,7,19.72,0,0,2,4.78,0,0,0,0,0,0,18.944,78.17,2,9.9,17.931,48.26,0,0,1,10.39,0,0,0,0,8,21.78,3.3175,3.99,0,0,4.449577465,1.614444444,2.216538462,2.817142857,0,2.39,0,0,0,4.126372466,4.95,0,2.691428253,0,10.39,0,2.7225,466.92,22.23428571,2
169046463,0,31,83,52,9,29.91,0,0,0,0,0,0,1,3.59,4,3.99,27,82.9,0,0,2,11.98,0,0,1,1.39,3,7.47,0,0,15.111,76.28,0,0,0,0,0,0,0,0,0,0,1.75,11.68,0,0,3.323333333,0,0,0,3.59,0.9975,3.07037037,0,5.99,0,1.39,2.49,0,5.047978294,0,0,0,0,0,6.674285714,0,229.19,10.91380952,2
175820307,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.37,3,5.31,0,0,4,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1.77,0,1.2625,0,0,0,0,0,0,0,0,0,0,12.73,0.606190476,2
180280752,0,0,44,44,10,9.96,2,6.69,0,0,0,0,1.5,11.8,1,3.99,10,13.25,2,3.48,5,20.41,2,1.78,2,6.49,0,0,0,0,0.167,0.87,0.472,2.29,0,0,10,42.99,0,0,2,8.98,2,13.18,5,7.64,0.996,3.345,0,0,7.866666667,3.99,1.325,1.74,4.082,0.89,3.245,0,0,5.209580838,4.851694915,4.49,0,4.299,0,6.59,1.528,153.8,7.323809524,2
190525816,0,445,487,42,6,36.14,0,0,1,4.19,0,0,20.945,114.33,0,0,10.5,64.35,1,3.59,0,0,4,6.76,0,0,0,0,6,10.87,2,2.98,0,0,7,24.43,1,3.59,0,0,0,0,3,11.97,0,0,6.023333333,0,4.19,0,5.458582001,0,6.128571429,3.59,0,1.69,0,0,1.811666667,1.49,0,0,3.49,3.59,0,3.99,0,283.2,13.48571429,2
198242067,0,31,84,53,29,106.71,1,0.9,0,0,14,12.48,36.07,153.32,6,7.19,18,84.03,3,11.37,1,2.39,4,6.99,0,0,0,0,0,0,6,18.91,0,0,55.417,148.14,5,31.16,8,32.57,0,0,14,104.1,0,0,3.679655172,0.9,0,0.891428571,4.250623787,1.198333333,4.668333333,3.79,2.39,1.7475,0,0,0,3.151666667,0,0,2.673186928,6.232,4.07125,7.435714286,0,720.26,34.29809524,2
211534870,0,215,263,48,39.167,78.41,14,13.37,0,0,32,133.15,30.584,126.52,11,27.95,44.583,224.75,16,56.71,1,2.24,4,7.92,2,2.18,4,3.8,11,44,8.222,34.5,0,0,0,0,1,3.49,2,13.06,6,6.89,1,5.99,6,20.26,2.001940409,0.955,0,4.1609375,4.136803557,2.540909091,5.041159186,3.544375,2.24,1.98,1.09,0.95,4,4.196059353,0,1.148333333,0,3.49,6.53,5.99,3.376666667,805.19,38.34238095,2
217259126,0,429,458,29,0,0,1,3.99,0,0,0,0,6.014,23.27,1,1.59,18,130.38,0,0,0,0,11,33.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,7.42,0,0,1,6.29,0,3.99,0,0,3.869304955,1.59,7.243333333,0,0,3.083636364,0,0,0,0,0,2.968,0,0,0,0,6.29,206.86,9.850476191,2
217507599,0,196,245,49,2,7.41,19,21.28,0,0,3,1.02,65.193,279.91,1,1.19,8,12.8,0,0,10,24.58,15,26.61,14,16.37,0,0,0,0,6,13.96,22,69.54,3.623,7.67,0,0,0,0,9.5,41.63,1,99.99,3,8.38,3.705,1.12,0,0.34,4.293559124,1.19,1.6,0,2.458,1.774,1.169285714,0,0,2.326666667,3.160909091,4.382105263,2.117030086,0,0,99.99,2.793333333,632.34,30.11142857,2
222927014,0,258,306,48,4,26.08,16,13.94,19,237.04,6,21.22,0.5,1.25,0,0,14,70.63,21,87.87,9,32.32,0,0,1,7.49,1,15.99,19,50.55,0,0,0,0,0,0,2.111,11.91,0,0,0,0,0,0,0,0,6.52,0.87125,12.47578947,3.536666667,2.5,0,5.045,4.184285714,3.591111111,0,7.49,15.99,2.660526316,0,0,0,0,5.641875888,0,0,0,576.29,27.44238095,2
226753135,0,0,18,18,5,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19.43,0,0,0,0,0,0,56,191.59,0,0,0,0,0,0,0,0,0,0,0,0,10,36.1,2.65,0,0,0,0,0,0,0,0,2.775714286,0,0,0,3.42125,0,0,0,0,0,0,3.61,260.37,12.39857143,2
229890819,0,434,480,46,0,0,0,0,0,0,0,0,2,14.99,0,0,0,0,0,0,0,0,0,0,1,7.79,23,122.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.495,0,0,0,0,0,7.79,5.343913044,0,0,0,0,0,0,0,0,0,145.69,6.937619048,2
