CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster,,
139113054,0,30,87,57,6,14.36,0,0,0,0,17,36.2,23.833,142.24,6,14.95,100.028,261.78,0,0,0,0,11,19.12,7,19.75,2,8.22,16,74.19,8,20.33,0,0,1.5,8.9,0,0,0,0,10.639,26.12,0,0,11,8.37,2.393333333,0,0,2.129411765,5.968195359,2.491666667,2.617067221,0,0,1.738181818,2.821428571,4.11,4.636875,2.54125,0,2.455117962,5.933333333,0,0,0,0.760909091,654.53,31.16809524,5,,
164853178,0,56,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,14.97,0.712857143,5,,
203866785,0,0,31,31,0,0,0,0,0,0,0,0,1.5,3.91,0,0,3,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.78,0,0,0,0,0,0,0,0,0,0,3,1.02,0,0,0,0,2.606666667,0,2.59,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0.34,23.48,1.118095238,5,,
215157058,0,0,26,26,0,0,1,3.6,2,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9.56,0,0,2,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,2.96,0,0,0,0,0,0,0,2.39,0,1.49,0,0,0,0,0,0,0,0,22.06,1.050476191,5,,
228153896,0,215,259,44,13,28.03,0,0,0,0,15,46.59,4,48.26,1,1.49,23.958,113.31,2,5.98,0,0,0,0,0,0,4,8.96,1,1.37,23.861,110.04,1.625,6.56,3,26.98,9.472,66.7,6,61.9,0,0,5,40.16,1,4.19,2.156153846,0,0,3.106,12.065,1.49,4.729526672,2.99,0,0,0,2.24,1.37,4.611709484,4.036923077,0,8.993333333,7.041807432,10.31666667,8.032,4.19,570.52,27.16761905,5,,
236505483,0,0,50,50,166,271.83,1,1,0,0,20,42.31,33.25,102.44,11,21.04,40.361,204.91,6,7.94,0,0,6,16.14,2,3.82,3,29.37,1,2.68,43.555,219.69,8.292,40.31,95.916,308.89,0,0,1,14.99,2,10.59,0,0,8,2.72,1.637530121,1,0,2.1155,3.080902256,1.912727273,5.0769307,1.323333333,0,2.69,1.91,9.79,2.68,5.043967398,4.861312108,5.295,3.220422036,0,14.99,0,0.34,1300.67,61.93666667,5,,
242747020,0,169,220,51,77,161.53,3,6.21,0,0,15,20.83,23,30.9,3,2.33,25,36.36,1,2.39,3,5.97,2,5.98,0,0,0,0,0,0,34.194,182.04,0,0,47.5,88.1,0,0,0,0,0,0,9,37.76,1,4.79,2.097792208,2.07,0,1.388666667,1.343478261,0.776666667,1.4544,2.39,1.99,2.99,0,0,0,5.323741007,0,0,1.854736842,0,0,4.195555556,4.79,585.19,27.86619048,5,,
247146129,0,180,221,41,9,45.21,0,0,0,0,0,0,6.444,42.22,4,4,6,20.4,0,0,1,1.59,0,0,0,0,2,6.28,2,4,1.5,1.49,1,11,0,0,10.083,39.46,0,0,5,24.86,0,0,0,0,5.023333333,0,0,0,6.551831161,1,3.4,0,1.59,0,0,3.14,2,0.993333333,11,4.972,0,3.913517802,0,0,0,200.51,9.548095238,5,,
249482704,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.96,0,0,0,0,0,0,0,0,0.875,6.36,1.125,5.87,0.5,2.75,0,0,0,0,0,0,2,11.98,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,7.268571429,5.217777778,0,5.5,0,0,5.99,0,37.92,1.805714286,5,,
251026522,0,429,479,50,10,23.69,0,0,0,0,0,0,11,38.75,1,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.54,0,0,1.777,5.4,5.5,33.82,0,0,0,0,0,0,0,0,2.369,0,0,0,3.522727273,1.62,0,0,0,0,0,0,0,3.77,0,0,3.038829488,6.149090909,0,0,0,110.82,5.277142857,5,,
