VAR1,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,Cluster
1384,960199727,0,0.9123173278,0.7840136054,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.0056854685,0.010463693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023148148,0.0745383592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1371872304,0,0,0,0,0,0,0,0,0,0,0.7599466548,0,0,0,0.0021253985,0.020696143,3
606,588214650,0,0.8434237996,0.7329931973,0.421875,0,0,0,0,0.0256410256,0.4216416599,0,0,0,0,0,0,0.0056854685,0.0762730826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999933331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021253985,0.149380474,3
650,604477265,0,0.9436325678,0.8231292517,0.5,0,0,0,0,0,0,0,0,0.0064898402,0.0067466351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278,0.0208954646,0,0,0,0,0,0,0.1497874469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047957687,0,0.0021253985,0.0079383845,3
152,378700611,0,0.9290187891,0.8146258503,0.53125,0,0,0,0,0,0,0,0,0,0,0,0,0.0056854685,0.0329046948,0.0078740157,0.0233769274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4314063848,0.3330554398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021253985,0.0160930874,3
1453,985650894,0,0.9415448852,0.8214285714,0.5,0.005,0.1428448978,0,0,0,0,0,0,0,0,0,0,0.0056854685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428448978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021253985,0.049798522,3
1300,930775879,0,0.8371607516,0.75,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0.0056854685,0.0091475052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023148148,0.0653818483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119930975,0,0,0,0,0,0,0,0,0,0,0.6665925761,0,0,0,0.0021253985,0.0180801988,3
960,768395527,0,0.9227557411,0.7925170068,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.011370937,0.0118193664,0,0,0,0,0,0,0.0081300813,0.0042497432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774805867,0,0,0,0.0400133378,0,0,0,0,0,0,0,0,0,0,0.0031880978,0.0046181476,3
223,427053301,0,0.9394572025,0.8146258503,0.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157480315,0.0280289066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023148148,0.0235235126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1996665277,0,0,0,0,0,0,0,0,0,0.2398310736,0,0,0,0.0031880978,0.0097443921,3
228,429324973,0,0.9686847599,0.8299319728,0.375,0,0,0.0043763676,0.0059871232,0,0,0,0,0,0,0.0114942529,0.0676737569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663554518,0,0,0,0.6247654784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031880978,0.0065247685,3
1385,960339141,0,0.8496868476,0.7465986395,0.5,0.015,0.0125287504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041762501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031880978,0.0039088243,3
